,id,text,label,ind
465,465,HBO bisa dinikmati ing Thailand lan Filipina. ,HBO dapat dinikmati di Thailand dan Filipina. ,HBO dapat dinikmati di Thailand dan Filipina.
466,466,"Tanggal 6 Januari 1986, salju ing kutha Kagoshima dumugi 23 cm kandelipun. ","Pada 6 Januari 1986, salju di kota Kagoshima mencapai ketebalan 23 cm. ","Pada 6 Januari 1986, salju di Kota Kagoshima mencapai ketebalan 23 cm."
467,467,"1965-Tokoh nasionalis Afrika-Amérika, Malcolm X dipatèni anggota Nation of Islam ing New York. ","1965 - Tokoh nasionalis Afrika-Amerika, Malcolm X dibunuh oleh anggota Nation of Islam di New York. ","1965 - Nasionalis Afrika -Amerika, Malcolm X dibunuh oleh Muslim di New York."
468,468,"Kebetulan, villa iku duwéke bapak lan ibu angkate Kayla. ","Kebetulan, villa itu adalah milik ayah dan ibu angkat Kayla. ","Kebetulan, vila itu milik ayah dan ibu Kayla."
469,469,"Struktur badan, karbon, Kevlar, komposit kaca dirancang olèh Dallara. ","Struktur badan, karbon, Kevlar, komposit kaca dirancang oleh Dallara. ","Struktur tubuh, karbon, kevlar, komposit kaca dirancang oleh Dallara."
470,470,Kabèh enzim mau aktif ing pH 5. ,Semua enzim tersebut aktif pada pH 5. ,Semua enzim ini aktif pada pH 5.
471,471,"Iki terminal anyar dibukak nalika tanggal 1 November, lan dijenengi Terminal 2. ","Ini terminal baru dibuka pada tanggal 1 November, dan dinamai Terminal 2. ","Terminal baru terbuka pada 1 November, dan disebut Terminal 2."
472,472,"Adhiné, Salinah Osir nyambut gawé ing Departemen Keuangan Sabah. ","Adiknya, Salinah Osir bertugas di Departemen Keuangan Sabah. ","Adik laki -lakinya, Salinah Osir bertugas di Departemen Keuangan Sabah."
473,473,Tembung Pirngon ing basa Jawa dijupuk saka basa Arab فرعون fir`aun. ,"Karena ia masih golongan bangsawan, maka ia akan dijadikan selir dan bisa memasuki kemakmuran Firaun. ","Karena dia masih kelompok yang mulia, dia akan digunakan sebagai selir dan dapat memasuki kemakmuran Firaun."
474,474,"Pelarangan total tumprapé panggunaan CFC taun 1990 diusulaké déning komunitas eropa ing taun 1989, kang uga disetujui déning Présidhèn AS George Bush. ","Pelarangan total terhadap penggunaan CFC sejak 1990 diusulkan oleh Komunitas Eropa (sekarang Uni Eropa) pada tahun 1989, yang juga disetujui oleh Presiden AS George Bush. ","Jumlah larangan penggunaan CFC sejak tahun 1990 diusulkan oleh Komunitas Eropa (sekarang Uni Eropa) pada tahun 1989, yang juga disetujui oleh Presiden AS George Bush."
475,475,Pangétungan volume lan wiyar kang wujud fungsi utama saka kalkulus integral bisa ditlusuri manèh ing Papirus Moskwa Mesir (c. ,Perhitungan volume dan luas yang merupakan fungsi utama dari kalkulus integral bisa ditelusuri kembali pada Papirus Moskwa Mesir (c. ,Perhitungan volume dan area yang merupakan fungsi utama dari kalkulus integral dapat dideteksi kembali ke papirus Moskow Mesir (c.
476,476,Penari kanthi cacah 64 tiyang punika nari kanthi ndhèrèk alunan musik lan gerakanipun lambat. ,Penari berjumlah 64 orang menari mengikuti alunan musik dengan gerakan lambat. ,Sebanyak 64 penari menari mengikuti musik dengan gerakan lambat.
477,477,Posisi Rijkaard ing FC Barcelona diganti déning Josep Guardiola. ,Posisi Rijkaard di FC Barcelona diganti oleh Josep Guardiola. ,Posisi Rijkaard di FC Barcelona digantikan oleh Josep Guardiola.
478,478,"Pendhidhikan ing Indonésia kapérang dadi telung jalur utama, ya iku formal, nonformal, lan informal. ","Pendidikan di Indonesia terbagi ke dalam tiga jalur utama, yaitu formal, nonformal, dan informal. ","Pendidikan di Indonesia dibagi menjadi tiga saluran utama, yaitu formal, informal, dan informal."
479,479,Stadion punika sadèrèngipun dipunkenal kanthi nama AufSchalke Arena lan nggantosaken Parkstadion (kapasitas 71.000) dipunyasa rikala taun 1973. ,Stadion ini sebelumnya dikenal sebagai AufSchalke Arena dan menggantikan Parkstadion (kapasitas 71.000) dibangun pada tahun 1973. ,Stadion ini sebelumnya dikenal sebagai Aufschalke Arena dan menggantikan Parkstadion (kapasitas 71.000) yang dibangun pada tahun 1973.
480,480,MySpace dadi situs jaringan sosial paling populèr ing Amérika Sarékat ing sasi Juni 2006. ,MySpace menjadi situs jaringan sosial paling populer di Amerika Serikat pada bulan Juni 2006. ,MySpace menjadi situs jejaring sosial paling populer di Amerika Serikat pada Juni 2006.
481,481,"Dhèwèké ketemu Bob Avianto, juru tulis lepas masalah perfilman. ","Dia lalu bertemu Bob Avianto, seorang penulis lepas masalah-masalah perfilman. ","Dia kemudian bertemu Bob Avianto, seorang penulis yang memiliki masalah film."
482,482,"Ananging tuwuhing ekonomi ingkang kiyat ing sapérangan taun pungkasan menika dipunsebabaken dening nilai inflasi ingkang mindhak (11.2% ing tahun 2007 nalika dipunetang dhumateng Indeks Harga Konsumen) ingkang kagabungaken kaliyan regi sewa kantor lan pamukiman ingkang kathah, ingkag damel minggahipun substansial beaya kanggé urip tiyang ingkang ngginakaken. ","Tetapi, pertumbuhan ekonomi yang kuat dalam beberapa tahun terakhir disebabkan oleh nilai inflasi yang naik (11.2% pada tahun 2007 ketika dihitung terhadap Indeks Harga Konsumen) yang digabungkan karena harga penyewaan perkantoran dan permukiman yang berlipat ganda, mengakibatkan peningkatan substansial biaya hidup bagi para penghuninya. ","Namun, pertumbuhan ekonomi yang kuat dalam beberapa tahun terakhir telah disebabkan oleh meningkatnya inflasi (11,2% pada tahun 2007 ketika dihitung pada indeks harga konsumen) digabungkan karena harga sewa dan penyelesaian, yang mengakibatkan peningkatan biaya hidup substansial untuk populasinya."
483,483,"Wiwit 1993, DEA ngukuhaké katinona mawa zat adiktif Golongan I ing Undang-Undang Pengawasan Psikotropika. ","Sejak 1993, DEA menetapkan katinona sebagai zat adiktif Golongan I dalam Undang-Undang Pengawasan Psikotropika. ","Sejak 1993, DEA telah mendirikan Katinona sebagai kecanduan dalam kelompok I dalam Undang -Undang Pengawasan Psikotropika."
484,484,"Tanggal 31 Maret 2005, perusahaan iki duwé tenaga kerja 1661. ","Pada 31 Maret 2005, perusahaan ini memiliki tenaga kerja 1661. ","Pada tanggal 31 Maret 2005, perusahaan memiliki 1661 tenaga kerja."
485,485,"Klub penggemar mereka namanipun Neo SOUND Crew, lan maskot mereka namanipun Uverchan. ","Klub penggemar mereka bernama Neo SOUND Crew, dan maskot mereka bernama Uverchan. ","Klub penggemar mereka adalah kru Neo Sound, dan maskot mereka adalah Uverchan."
486,486,Métodhe pangukuran punika dipunsebat parallaks (parallax). ,Metode pengukuran ini disebut parallaks (parallax). ,Metode pengukuran ini disebut parallaks (parallax).
487,487,Indonésia mèlu partisipasi sajeroning misi iki liwat Pasukan Garuda IX. ,Indonesia ikut berpartisipasi dalam misi ini melalui Pasukan Garuda IX. ,Indonesia berpartisipasi dalam misi ini melalui tentara IX Garuda.
488,488,Kontraktor mligi ya iku Chrysler Corporation. ,Kontraktor utama adalah Chrysler Corporation. ,Kontraktor utama adalah Chrysler Corporation.
489,489,Conto saka Sistem numerik Unary ya iku Tally mark. ,Contoh dari Sistem numerik Unary adalah Tally mark. ,Contoh sistem unary numerik adalah tanda penghitungan.
490,490,Film Love in the Time of Cholera sing disiaraké ing Amérika Sarékat tanggal 16 November 2007 dijupuk ing Cartagena. ,Film Love in the Time of Cholera yang disiarkan di Amerika Serikat tanggal 16 November 2007 diambil di Cartagena. ,Film Love pada saat disiarkan kolera di Amerika Serikat pada 16 November 2007 diambil di Cartagena.
491,491,Angkatan Sakuthu ngancuraké garis pertahanan Blok Poros lan meksa mundur menyang Tunisia. ,Angkatan Sekutu menghancurkan garis pertahanan Blok Poros dan memaksa mereka mundur ke Tunisia. ,Sekutu menghancurkan garis pertahanan blok sumbu dan memaksa mereka untuk mundur ke Tunisia.
492,492,"Asrul Sani (Seniman Pelopor Angkatan 45), lan Drh. ","Asrul Sani (Seniman Pelopor Angkatan 45), dan Drh. ","Asrul Sani (artis perintis 45), dan drh."
493,493,God Bless Our Homeland Ghana iku lagu kabangsané Ghana. ,God Bless Our Homeland Ghana adalah lagu kebangsaan Ghana. ,Tuhan memberkati tanah air kita adalah lagu kebangsaan.
494,494,Simbol sing paling umum dipigunakan kanggo dolar AS ya iku lambang dolar ($). ,Simbol yang paling umum digunakan untuk dolar AS adalah lambang dolar ($). ,Simbol yang paling umum digunakan untuk dolar AS adalah simbol dolar ($).
495,495,Filipina pungkasan olèh posisi semifinalis taun 1999. ,Filipina terakhir menempati posisi semifinalis tahun 1999. ,Filipina akhirnya menduduki semifinal pada tahun 1999.
496,496,Piyambakipun utawi pasanganipun kang selingkuh? ,Mereka atau pasangan mereka yang berselingkuh? ,Mereka atau pasangannya?
497,497,"Présidhèn Nestor Kirchner ngandharaken bilih Argentina namung mbayar US$38,5 miliar – US$41,8 miliar nalika 13 Januari 2005 ing Buenos Aires. ","Presiden Nestor Kirchner mengutarakan bahwa Argentina hanya membayar US$38,5 miliar – US$41,8 miliar pada 13 Januari 2005 di Buenos Aires. ","Presiden Nestor Kirchner mengatakan Argentina hanya membayar US $ 38,5 miliar - US $ 41,8 miliar pada 13 Januari 2005 di Buenos Aires."
498,498,"""Boku no Taiyō"" dipunrilis namung 3 minggu sasampunipun dipunrilisnya ""Bingo!"". ","""Boku no Taiyō"" dirilis hanya 3 minggu setelah dirilisnya ""Bingo!"". ","""Boku No Taiyō"" dirilis hanya 3 minggu setelah rilis ""Bingo!""."
499,499,"Cory Anthony Booker iku politisi Amérika Sarékat, senator kanggo New Jersey. ","Cory Anthony Booker adalah politisi Amerika Serikat, seorang senator untuk New Jersey. ","Cory Anthony Booker adalah seorang politisi AS, seorang senator untuk New Jersey."
500,500,Unsur no 3 ya iku unsur tanggung jawab. ,Unsur ketiga adalah unsur tanggung jawab. ,Elemen ketiga adalah elemen tanggung jawab.
501,501,"At-Tabari berpendapat yèn ia ya iku ""Khair"". ","At-Tabari berpendapat bahwa ia adalah ""Khair"". ","At-Tabari berpendapat bahwa dia adalah ""khair""."
502,502,"James ningkataken produktivitasipun wonten ing ngasilaken angka, rebounds, lan assists per game. ","James meningkatkan produktivitasnya dalam hal meraih angka, rebounds, dan assists per game. ","James meningkatkan produktivitas dalam hal angka, rebound, dan membantu setiap permainan."
503,503,Hibari lan ibunipun yakin badhé lulus. ,Hibari dan ibunya yakin akan lulus. ,Hibari dan ibunya yakin dia akan lewat.
504,504,Zeus manggon ing Gunung Olimpus. ,Zeus tinggal di Gunung Olimpus. ,Zeus tinggal di Gunung Olympus.
505,505,Tantangan Masterchef ya iku: Mystery Box: kontestan kudu masak saka bahan-bahan kang ana ing jero kotak. ,Tantangan Masterchef yaitu: Mystery Box: kontestan harus membuat masakan dari bahan-bahan yang ada di dalam kotak. ,Tantangan MasterChef adalah: Mystery Box: Peserta harus membuat hidangan dari bahan -bahan di dalam kotak.
506,506,"Sakwéné periode iki, perusahaan ngalami prosès kebangkitan manèh liwat rehabilitasi lan pengembangan kapasitas pabrik Indarung I dadi 330.000 ton/ taun. ","Selama periode ini, perusahaan mengalami proses kebangkitan kembali melalui rehabilitasi dan pengembangan kapasitas pabrik Indarung I menjadi 330.000 ton/ tahun. ","Selama waktu ini, perusahaan mengalami peningkatan melalui pemulihan dan pembangunan kapasitas pabrik Indarung menjadi 330.000 ton/ tahun."
507,507,"Ing taun 2004, PDB (PPP) per kapitané 120,6% saka rata-rata UE. ","Pada 2004, PDB (PPP) per kapitanya adalah 120,6% dari rata-rata UE. ","Pada tahun 2004, PDB (PPP) per kapita adalah 120,6% dari rata -rata UE."
508,508,"Cevdet dan anak-anaknya) nalika 1982, lan menang Bebungah Novèl Orhan Kemal nalika 1983. ","Cevdet dan anak-anaknya) pada 1982, dan memenangkan Hadiah Novel Orhan Kemal pada 1983. ","Cevdet dan anak -anaknya) pada tahun 1982, dan memenangkan novel Orhan Kemal pada tahun 1983."
509,509,"Sanèsipun serial TV, Engine Sentai Go-onger sampun tiga kali dipunangkat dados filem layar lebar: Boom Boom! ","Selain serial TV, Engine Sentai Go-onger telah tiga kali diangkat menjadi film layar lebar: Boom Boom! ","Selain serial TV, mesin Go-Berger Sentai telah diambil tiga kali sebagai film layar lebar: Boom Boom!"
510,510,"Ngantos ing yuswanipun ingkang sampun sepuh, panjenenganipun taksih aktif. ","Apabila para jipen telah sanggup melunasi utangnya, maka kemerdekaan akan mereka peroleh. ","Jika Jipen dapat membayar hutang mereka, mereka akan mendapatkan kemerdekaan."
511,511,Piyambakipun angsal Bebungah Nobel Bedhamèn nalika taun 1909 dados pendhiri sarta présidhèn kelompok arbitrase parlemen Perancis ugi komite pertahanan kepentingan nasional dan arbitrase internasional. ,Ia memenangkan Hadiah Nobel Perdamaian pada tahun 1909 sebagai pendiri dan presiden kelompok arbitrase parlemen Prancis dan komite pertahanan kepentingan nasional dan arbitrase internasional. ,Dia memenangkan Hadiah Nobel Perdamaian pada tahun 1909 sebagai pendiri dan presiden Arbitrase Parlemen Prancis dan Komite Pertahanan Arbitrase Nasional dan Nasional.
512,512,"""Biog: Theo James"". ","James: ""Dan aku James!"" ","James: ""Dan aku James!"""
513,513,Naminipun kalebet urutan nomer tiga politisi wanita paling kiyat ing donya miturut Majalah Forbes ing taun 2004. . ,Namanya termasuk dalam peringkat tiga besar sebagai seorang politisi wanita terkuat di dunia menurut Majalah Forbes pada tahun 2004. . ,Namanya termasuk dalam tiga teratas sebagai politisi wanita terkuat di dunia menurut majalah Forbes pada tahun 2004.
514,514,Prastawa punika misuwur kanthi nama Tragedhi Armero. ,Peristiwa ini disebut tragedi Armero. ,Acara ini disebut tragedi Armero.
515,515,"Tantangan tuan rumah berada ing tangan Liam Broady, sing menangaké turnamèn berskala Grade 1; AEGON Junior International 2011, sing dianakaké ing Roehampton seminggu sebelum dimulainya Wimbledon. ","Tantangan tuan rumah berada di tangan Liam Broady, yang memenangkan turnamen berskala Grade 1; AEGON Junior International 2011, yang diselenggarakan di Roehampton seminggu sebelum dimulainya Wimbledon. ","Tantangan tuan rumah adalah di tangan Liam Broady, yang memenangkan kejuaraan skala kelas 1; Aegon Junior International 2011, diadakan di Roehampton seminggu sebelum dimulainya Wimbledon."
516,516,"Pungkasaning taun 2010, Bom tampil ing singel GD & TOP, ""Oh Yeah"" kanggo album kolaborasi pertama. ","Pada akhir 2010, Bom tampil dalam singel GD & TOP, ""Oh Yeah"", untuk album kolaborasi pertama mereka. ","Pada akhir 2010, sebuah bom muncul di single GD & Top, ""Oh Yeah"", untuk album kerja sama pertama mereka."
517,517,"Dayak Sampanahan, ing kacamatan Sampanahan, Kotabaru. ","Dayak Sampanahan, di kecamatan Sampanahan, Kotabaru. ","Dayak Sampanahan, di distrik Sampanahan, Kotabaru."
518,518,"Lajeng piyambakipun mbikak praktik pengacara ing Lincoln, Nebraska (1887-1894). ","Kemudian ia buka praktik pengacara di Lincoln, Nebraska (1887-1894). ","Dia kemudian membuka praktik seorang pengacara di Lincoln, Nebraska (1887-1894)."
519,519,"Salajengipun dhedhasar Treaty of Amity and Commerce nalika taun 1858, Pelabuhan Yokohama dipunbikak kanggé kapal-kapal As. ","Selanjutnya berdasarkan Treaty of Amity and Commerce pada tahun 1858, Pelabuhan Yokohama dibuka untuk kapal-kapal AS. ","Selain itu, menurut Perjanjian Amity dan Perdagangan pada tahun 1858, Pelabuhan Yokohama dibuka untuk kapal -kapal AS."
520,520,1929-Kanada lan Amérika Sarékat nyepakati rancangan preservasi Air Terjun Niagara. ,1929 - Kanada dan Amerika Serikat menyepakati rencana preservasi Air Terjun Niagara. ,1929 - Kanada dan Amerika Serikat setuju dengan Rencana Pelestarian Air Terjun Niagara.
521,521,Kulawarga iki pindah menyang Delaware nalika Joe Biden umur 10 taun. ,Keluarga ini pindah ke Delaware ketika Joe Biden berusia 10 tahun. ,Keluarga itu pindah ke Delaware ketika Joe Biden berusia 10 tahun.
522,522,Piyambakipun ugi dipunhadhiahi titel Pahlawan Buruh Sosialis Uni Soviet taun 1984. ,Ia juga dihadiahi titel Pahlawan Buruh Sosialis Uni Soviet tahun 1984. ,Dia juga dianugerahi gelar Pahlawan Laboratorium Sosialis Soviet pada tahun 1984.
523,523,"Prototip MiG-31, diwènèhi kodhe Ye-155MP mabur pertama tanggal 16 September 1975. ","Prototip MiG-31, diberi kode Ye-155MP terbang perdana tanggal 16 September 1975. ","Prototipe MIG-31, mengingat kode YE-155MP pertama pada 16 September 1975."
524,524,Radius ya iku penggemar fotografi lan sepeda motor. ,Radius adalah penggemar fotografi dan sepeda motor. ,Radius adalah penggemar fotografi dan sepeda motor.
525,525,"Dinasti Karoling mimpin Prancis nganti 987, nalika Hugh Capet, Duke of France lan Bangsawan Paris, diangkat dadi Raja Prancis. ","Dinasti Karoling memimpin Prancis hingga 987, ketika Hugh Capet, Duke of France dan Bangsawan Paris, diangkat sebagai Raja Prancis. ","Dinasti Karoling membawa Prancis ke 987, ketika Hugh lelah, Duke of Prancis dan bangsawan Paris, menunjuk raja Prancis."
526,526,"Piyambakipun ndèrèk Audisi Anggota Angkatan Ketiga SKE48, lan dipuntampi ing tanggal 13 November 2009. ","Ia mengikuti Audisi Anggota Angkatan Ketiga SKE48, dan diterima pada 13 November 2009. ","Dia mengikuti audisi untuk anggota generasi ketiga Ske48, dan diterima pada 13 November 2009."
527,527,Model ideal distilasi dhedhasar ing Hukum Raoult lan Hukum Dalton. ,Model ideal distilasi didasarkan pada Hukum Raoult dan Hukum Dalton. ,Model distilasi yang ideal didasarkan pada hukum Raoult dan hukum Dalton.
528,528,"Tanpa bukti lan pengadilan bab penahanan, dhèwèké metu saka pakunjaran ing 28 Oktober 1978, persis 50 taun Sumpah Pemuda. ","Tanpa pembuktian dan pengadilan mengenai penangkapannya, ia dilepas dari penjara pada 28 Oktober 1978, tepat 50 tahun Sumpah Pemuda. ","Tanpa bukti dan pengadilan mengenai penangkapannya, ia dibebaskan dari penjara pada 28 Oktober 1978, benar -benar 50 tahun janji pemuda."
529,529,Ingkang paling ageng lan paling kondhang inggih punika Pulau Daebu. ,Yang terbesar dan terkenal adalah Pulau Daebu. ,Yang terbesar dan paling terkenal adalah Pulau Daebu.
530,530,Lagu iki uga metu ana ing FIFA 07 nganggo versi gitar lewih terdistrosi. ,Lagu ini juga muncul di FIFA 07 dengan versi gitar lebih terdistrosi. ,Lagu ini juga muncul di FIFA 07 dengan versi gitar yang lebih terdistribusi.
531,531,"Krul pisanan muncul ing awal abad kaping 19, bebarengan karo nambahé birokrasi ing Walanda. ",Krul pertama kali muncul pada awal abad ke-19 bersamaan dengan meningkatnya birokrasi di Belanda. ,Krul pertama kali muncul di awal abad ke -19 bersama dengan birokrasi yang berkembang di Belanda.
532,532,Aznavour njabat anggota dewan pembina Armenia Fund International sing wés menèhi punjul US$150 yuta wiwit taun 1992 ing wujud dana bantuan kemanusiaan lan pembangunan infrastruktur ing Armenia. ,Aznavour menjabat anggota dewan pembina Armenia Fund International yang telah mengucurkan lebih dari US$150 juta sejak tahun 1992 dalam bentuk dana bantuan kemanusiaan dan pembangunan infrastruktur di Armenia. ,Aznavour telah menjadi anggota Dewan Pengawas Armenia Fund International yang telah menerbitkan lebih dari US $ 150 juta sejak 1992 dalam bentuk dana bantuan kemanusiaan dan pengembangan infrastruktur di Armenia.
533,533,"Diproduksi déning Steve Lillywhite, album iki nampa ulasan positif. ","Diproduksi oleh Steve Lillywhite, album ini menerima ulasan positif. ","Dibuat oleh Steve Lillywhite, album ini memiliki ulasan positif."
534,534,Count Dracula ya iku sawijining bangsawan kang ngundang Jonathan Harker supaya ngurus ngalihe menyang Inggris. ,Count Dracula adalah seorang bangsawan mengundang Jonathan Harker untuk mengurus kepindahannya ke Inggris. ,Count Dracula adalah seorang bangsawan yang mengundang Jonathan Harker untuk tetap pindah ke Inggris.
535,535,Klasifikasi Newel (1965) kang didasaraké ngèlmu morfologi. ,Klasifikasi berikut adalah berdasarkan klasifikasi Newel (1965) yang didasarkan pada morfologi. ,Klasifikasi berikut didasarkan pada Klasifikasi Newel (1965) berdasarkan morfologi.
536,536,1983-Astronot Sally K. Ride dados wanita Amérika Sarékat ingkang sepindhahan wonten ing luar akasa nganggé pesawat Challenger. ,1983 - Astronot Sally K. Ride menjadi wanita Amerika Serikat pertama di luar angkasa setelah dia dan empat rekannya meluncur menggunakan Challenger. ,1983 - Astronot Sally K. Ride menjadi wanita AS pertama di luar angkasa setelah dia dan keempat temannya mengemudi menggunakan Challenger.
537,537,Bonus ekstra mil bulanan didiwenehake ing Silver lan Gold Diamond Club minagka dorongan kanggo kesetiaane tumrap bmi. ,Bonus ekstra mil bulanan diberikan di Silver dan Gold Diamond Club sebagai dorongan untuk kesetiaannya terhadap bmi. ,Tambahan jutaan jutaan bonus diberikan di Silver and Gold Diamond Club sebagai insentif untuk kesetiaannya kepada BMI.
538,538,PDF wis dadi standar ISO ing tanggal 1 Juli 2008 kanthi kodhe ISO 32000-1:2008. ,PDF telah menjadi standar ISO pada tanggal 1 Juli 2008 dengan kode ISO 32000-1:2008. ,PDF adalah standar ISO pada 1 Juli 2008 dengan kode ISO 32000-1: 2008.
539,539,"Iku dibuktikaké dening penelitian ana ing ""Clinical and Experimental Hypertension"" ing taun 2006 kepungkur. ","Hal ini dibuktikan pada penelitian dari ""Clinical and Experimental Hypertension"" opada tahun 2006. ","Ini dibuktikan dalam penelitian dari ""Hipertensi dan Eksperimen Klinis"" pada tahun 2006."
540,540,"Nama ilmiahipun inggih punika Prinia familiaris Horsfield, 1821. ","Nama ilmiahnya adalah Prinia familiaris Horsfield, 1821. ","Nama ilmiahnya adalah Prinia Familiaris Horsfield, 1821."
541,541,"Taun 2011 ana kira-kira 130 – 150 sapi, 70 nganti 80 antarané wujud sapi babon kang bisa diperes susune, sisané sapi cilik-cilik sarta 3 sapi lanangan. ","Pada tahun 2011 terdapat sekitar 130 – 150 sapi, 70 – 80 di antaranya merupakan sapi betina yang dapat diambil susunya, sisanya sapi anak-anak dan remaja serta 3 sapi jantan. ","Pada tahun 2011 ada sekitar 130-150 sapi, 70-80 di antaranya adalah sapi betina yang bisa diambil, sisanya adalah anak-anak dan sapi remaja dan 3 sapi jantan."
542,542,"Taun 1774, Whitehurst pikantuk posisi ing Royal Mint, London. ","Tahun 1774, Whitehurst mendapatkan posisi di Royal Mint, London. ","Pada 1774, Whitehurst mendapat posisi di Royal Mint, London."
543,543,Pratélan punika dipunngendikakaken nalika 5 April ing artikel ingkang dipunmot wonten The Ryersonian. ,Pernyataan itu dikonfirmasi pada 5 April dalam artikel yang dimuat di The Ryersonian. ,Pernyataan itu dikonfirmasi pada 5 April dalam sebuah artikel yang diterbitkan dalam Ryersonian.
544,544,"Filem punika saèstu dipunsengkuyung déning kulawarginipun Owens, inggih punika Jesse Owens Foundation, Jesse Owens Trust lan Luminary Group. ","Film ini didukung penuh oleh keluarga Owens, yaitu Jesse Owens Foundation, Jesse Owens Trust dan the Luminary Group. ","Film ini sepenuhnya didukung oleh keluarga Owens, Yayasan Jesse Owens, Jesse Owens Trust dan The Luminary Group."
545,545,Kamidia Radisti iku mantan atlet renang. ,Kamidia adalah mantan atlet renang. ,Kamidia adalah mantan perenang.
546,546,Panjenengane dipilih dadi juri ing taun 2012 ganti juri sadurungé Vindex Tengker. ,Ia ditunjuk menjadi juri pada tahun 2012 menggantikan Vindex Tengker. ,Dia diangkat sebagai hakim pada 2012 untuk menggantikan Vindex Tengker.
547,547,"Istilah ing Walanda ya iku hertog lan ing Jerman, Herzog. ","Istilah Belandanya adalah hertog dan Jerman, Herzog. ","Ketentuan dolar adalah Hertog dan Jerman, Herzog."
548,548,Stadion punika gadhah kursi VIP jumlahipun 3.600 lan 64 kotak èksekutif VVIP. ,Stadion ini memiliki kursi VIP sebanyak 3.600 dan 64 kotak eksekutif VVIP. ,Stadion ini memiliki 3.600 kursi VIP dan 64 kotak eksekutif VVIP.
549,549,Fomalhaut (α PsA / α Piscis Austrini / Alpha Piscis Austrini) inggih punika bintang ingkang gamblang ing rasi Piscis Austrinus. ,Fomalhaut (α PsA / α Piscis Austrini / Alpha Piscis Austrini) adalah bintang paling terang di rasi Piscis Austrinus. ,Fomalhaut (α psa / α piscis austini / alpha piscis austini) adalah bintang paling terang dalam rasi bintang Austrinus pisis.
550,550,Data lan foto 14 koruptor mau direncanakaké ditayangaké ing télévisi lan médhia massa seminggu pisan. ,Data dan foto 14 belas koruptor tersebut direncanakan ditayangkan di televisi dan media massa dengan frekuensi seminggu sekali. ,Data dan gambar 14 korupsi dirancang untuk disiarkan di televisi dan media massa dengan sering seminggu sekali.
551,551,Alves wis nyekel paspor Spanyol wiwit taun 2005. ,Alves telah memegang paspor Spanyol sejak tahun 2005. ,Alves telah memegang paspor Spanyol sejak 2005.
552,552,"Hong Kong, Malaysia lan Filipina uga kena prabawa krisis. ",Sedangkan di segmen Hong Kong dan Filipina mengalami masalah yang lebih sedikit. ,Sedangkan di segmen Hong Kong dan Filipina ada lebih sedikit masalah.
553,553,"Bebungah Nobel pisanan diwènèhaké miturut wasiat Alfred Nobel, siji industrialis Swedia, lan penemu dinamit. ","Penghargaan Nobel pertama kali diberikan berdasarkan wasiat Alfred Nobel, seorang industrialis Swedia, dan seorang penemu dinamit. ","Penghargaan Nobel pertama kali diberikan berdasarkan persyaratan Alfred Nobel, seorang industrialis Swedia, dan pencipta Dynamit."
554,554,Cetak foto lan komentar. ,Cetak foto dan komentar. ,Cetak gambar dan komentar.
555,555,Identifikasi/klasifikasi iku hal sing umum dilakuake ing kebun botani. ,Identifikasi/klasifikasi adalah hal yang umum dilakukan di kebun botani. ,Identifikasi/klasifikasi adalah hal yang umum untuk dilakukan di kebun botani.
556,556,"1934-Duo perampok bank Amérika, Bonnie lan Clyde, dipunsergap pulisi lan dipuntémbak nagntos pejah ing Black Lane, Louisiana. ","1934 - Duo perampok bank Amerika Serikat, Bonnie dan Clyde, disergap polisi dan ditembak mati di Black Lane, Louisiana. ","1934 - Dua perampok bank AS Bonnie dan Clyde diserang oleh polisi dan ditembak mati di Black Lane, Louisiana."
557,557,"Kanggé nglacak geraking item, kalebet sewa mobil, bagasi maskapé penerbangan. ","Pelacakan gerakan item, termasuk sewa mobil, bagasi maskapai penerbangan. ","Pergerakan barang pelacak, termasuk penyewaan mobil, bagasi penerbangan."
558,558,Bintik abang cilik (petechiae) bisa muncul ing kulit. ,Bintik merah kecil (petechiae) dapat muncul di kulit. ,Tempat merah kecil (petechiae) dapat muncul di kulit.
559,559,"Awit menarche nganti menopause, estrogen utama -ya iku 17β-estradiol. ","Sejak menarche sampai menopause, estrogen utama adalah 17β-estradiol. ","Karena menarche untuk menopause, estrogen utama adalah 17β-estradiol."
560,560,Senar ing gitar. ,Jumlah senar pada gitar. ,Jumlah string pada gitar.
561,561,Wonten ing taun 1986 kekalihipun nyumbang 40 juta Dollar AS kanggé yasa griya sakit anak ingkang lajeng dipunkenal minangka Lucile Salter Packard Children's Hospital ing Universitas Stanford. ,Pada tahun 1986 mereka menyumbangkan 40 juta Dollar AS untuk membangun rumah sakit anak yang kemudian dikenal sebagai Lucile Salter Packard Children's Hospital di Universitas Stanford. ,Pada tahun 1986 mereka menyumbang 40 juta dolar AS untuk membangun rumah sakit anak -anak yang dikenal sebagai Lucile Salter Packard Children's Hospital di Stanford University.
